BME, Biomedical Engineering, http://biomed.iith.ac.in
BT, Biotechnology, http://biotech.iith.ac.in
CH, Chemical Engineering, http://che.iith.ac.in/
CY, Chemistry, http://chemistry.iith.ac.in/
CE, Civil Engineering, http://civil.iith.ac.in/
CSE, Computer Science and Engineering, http://cse.iith.ac.in/
DES, Design,
EE, Electrical Engineering, http://ee.iith.ac.in/
ES, Engineering Science, http://es.iith.ac.in/
LA, Liberal Arts, http://lba.iith.ac.in/
MA, Mathematics, http://math.iith.ac.in/
MSE, Materials Science and Metallurgical Engineering, http://mse.iith.ac.in/
ME, Mechanical Engineering, http://me.iith.ac.in/
PH,Physics, http://physics.iith.ac.in/
